question,answer
Who was the man behind The Chipmunks?,David Seville
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard
Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman
Who had a 70s No 1 hit with Kiss You All Over?,Exile
What claimed the life of singer Kathleen Ferrier?,Cancer
Rita Coolidge sang the title song for which Bond film?,Octopussy
What was the last US state to reintroduce alcohol after prohibition?,Utah
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall
What is the Japanese share index called?,Nikkei
What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk
In which decade did stereo records first go on sale?,1930s
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In 1912, in Stockholm"
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro
The flag of Libya is a plain rectangle of which color?,Green
Of which African country is Niamey the capital?,Niger
Who was the director of the CIA from 1976-81?,George Bush
Which musical featured the song The Street Where You Live?,My Fair Lady
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Hitler
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx
Who directed the classic 30s western Stagecoach?,John Ford
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd
Which highway was Revisited in a classic 60s album by Bob Dylan?,61
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Rumania
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny On The Bounty
What was Truman Capote's last name before he was adopted by his stepfather?,Persons
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A boojum
"In the Bible, who did the sun and moon stand still before?",Joshua
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds
What was President Gerald Ford's middle name?,Rudolph
Art Garfunkel trained for which profession although he didn't qualify?,Architect
Who was the last inmate of Spandau jail in Berlin?,Rudolf Hess
What was Eddie Murphy's first movie?,48 Hours
In the 80s who wrote the novel Empire of The Sun?,J. G. Ballard
Kagoshima international airport is in which country?,Japan
In which sport could the Pacers take on the Pistons?,A: Basketball
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,Stars on 45 medley
Where in Canada is the Lion's Gate bridge?,Vancouver
What was Walter Matthau's first movie?,The Kentuckian
Otis Barton was a pioneer in exploring where?,Underwater
Where in England was actor Nigel Hawthorne born?,Coventry
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",A manticore
"In Greek mythology, who were Arges, Brontes and Steropes?",Cyclopes
Which musician founded the Red Hot Peppers?,Jelly Roll Morton
Where did the Shinning Path terrorists operate?,Peru
How old was Jimi Hendrix when he died?,27
Which Brit broke the land speed record in 1990 in Thrust 2?,Richard Noble
In which state was Gene Vincent born?,Virginia
How was the European Recovery Program in the 1940s more commonly known?,Marshall Plan
Brandon Lee died during the making of which movie?,The Crow
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers
Who had a Too Legit To Quit Tour?,MC Hammer
